OrderDate,ProductName,UnitPrice,Quantity,UnitPriceDiscounted,TotalPrice,ShipName,ShipCountry,IsEurophian
1996-07-22 00.00.00.000,Gnocchi di nonna Alice,"38,00",2,38,76,Rattlesnake Canyon Grocery,USA,0
1996-07-23 00.00.00.000,Pavlova,"17,45",60,"13,087501","785,25006",Ernst Handel,Austria,1
1996-07-23 00.00.00.000,Guaraná Fantástica,"4,50",28,"4,5",126,Ernst Handel,Austria,1
1996-07-23 00.00.00.000,Nord-Ost Matjeshering,"25,89",60,"19,4175","1165,0499",Ernst Handel,Austria,1
1996-07-23 00.00.00.000,Longlife Tofu,"10,00",36,"7,5",270,Ernst Handel,Austria,1
1996-07-24 00.00.00.000,Chang,"19,00",35,19,665,Folk och fä HB,Sweden,1
1996-07-24 00.00.00.000,Jack's New England Clam Chowder,"9,65",25,"8,2025","205,06252",Folk och fä HB,Sweden,1
1996-07-25 00.00.00.000,Alice Mutton,"39,00",30,39,1170,Blondel père et fils,France,1
1996-07-25 00.00.00.000,Outback Lager,"15,00",20,15,300,Blondel père et fils,France,1
1996-07-26 00.00.00.000,Queso Manchego La Pastora,"38,00",12,"36,1","433,19998",Wartian Herkku,Finland,1
1996-07-29 00.00.00.000,Boston Crab Meat,"18,40",50,"18,4",920,Frankenversand,Germany,1
1996-07-29 00.00.00.000,Raclette Courdavault,"55,00",70,"46,75","3272,5",Frankenversand,Germany,1
1996-07-29 00.00.00.000,Lakkalikööri,"18,00",15,"15,3","229,5",Frankenversand,Germany,1
1996-07-30 00.00.00.000,Thüringer Rostbratwurst,"123,79",10,"123,79","1237,9",GROSELLA-Restaurante,Venezuela,1
1996-07-30 00.00.00.000,Mozzarella di Giovanni,"34,80",4,"34,8","139,2",GROSELLA-Restaurante,Venezuela,1
1996-07-31 00.00.00.000,Geitost,"2,50",60,"2,375","142,5",White Clover Markets,USA,0
1996-07-31 00.00.00.000,Mozzarella di Giovanni,"34,80",20,"33,059998","661,19995",White Clover Markets,USA,0
1996-08-01 00.00.00.000,Inlagd Sill,"19,00",30,19,570,Wartian Herkku,Finland,1
1996-08-01 00.00.00.000,Ipoh Coffee,"46,00",25,46,1150,Wartian Herkku,Finland,1
1996-08-01 00.00.00.000,Geitost,"2,50",24,"2,5",60,Split Rail Beer & Ale,USA,0
1996-08-02 00.00.00.000,Sir Rodney's Marmalade,"81,00",6,81,486,Rattlesnake Canyon Grocery,USA,0
1996-08-02 00.00.00.000,Gorgonzola Telino,"12,50",40,"12,5",500,Rattlesnake Canyon Grocery,USA,0
1996-08-02 00.00.00.000,Mozzarella di Giovanni,"34,80",24,"34,8","835,19995",Rattlesnake Canyon Grocery,USA,0
1996-08-05 00.00.00.000,Ikura,"31,00",24,"29,449999","706,8",QUICK-Stop,Germany,1
1996-08-05 00.00.00.000,Gorgonzola Telino,"12,50",15,"11,875","178,125",QUICK-Stop,Germany,1
1996-08-05 00.00.00.000,Geitost,"2,50",20,"2,5",50,QUICK-Stop,Germany,1
1996-08-05 00.00.00.000,Boston Crab Meat,"18,40",60,"17,48","1048,7999",QUICK-Stop,Germany,1
1996-08-05 00.00.00.000,Lakkalikööri,"18,00",33,"17,1","564,3",QUICK-Stop,Germany,1
1996-08-06 00.00.00.000,Flotemysost,"21,50",20,"21,5",430,Vins et alcools Chevalier,France,1
1996-08-06 00.00.00.000,Mozzarella di Giovanni,"34,80",7,"34,8","243,59999",Vins et alcools Chevalier,France,1
1996-08-07 00.00.00.000,Guaraná Fantástica,"4,50",12,"4,275","51,300003",Magazzini Alimentari Riuniti,Italy,1
1996-08-07 00.00.00.000,Raclette Courdavault,"55,00",6,"52,25","313,5",Magazzini Alimentari Riuniti,Italy,1
1996-08-08 00.00.00.000,Ikura,"31,00",15,31,465,Tortuga Restaurante,Mexico,0
1996-08-08 00.00.00.000,Konbu,"6,00",10,6,60,Tortuga Restaurante,Mexico,0
1996-08-09 00.00.00.000,Rössle Sauerkraut,"45,60",20,"45,6",912,Morgenstern Gesundkost,Germany,1
1996-08-09 00.00.00.000,Tarte au sucre,"49,30",12,"49,3","591,6",Morgenstern Gesundkost,Germany,1
1996-08-12 00.00.00.000,Gula Malacca,"19,45",16,"19,45","311,2",Berglunds snabbköp,Sweden,1
1996-08-12 00.00.00.000,Raclette Courdavault,"55,00",15,55,825,Berglunds snabbköp,Sweden,1
1996-08-12 00.00.00.000,Vegie-spread,"43,90",8,"43,9","351,2",Berglunds snabbköp,Sweden,1
1996-08-12 00.00.00.000,Röd Kaviar,"15,00",25,15,375,Berglunds snabbköp,Sweden,1
1996-08-13 00.00.00.000,Alice Mutton,"39,00",15,"29,25","438,75",Lehmanns Marktstand,Germany,1
1996-08-14 00.00.00.000,Guaraná Fantástica,"4,50",12,"4,5",54,Berglunds snabbköp,Sweden,1
1996-08-14 00.00.00.000,Pâté chinois,"24,00",20,24,480,Berglunds snabbköp,Sweden,1
1996-08-14 00.00.00.000,Rhönbräu Klosterbier,"7,75",30,"7,75","232,5",Berglunds snabbköp,Sweden,1
1996-08-14 00.00.00.000,Teatime Chocolate Biscuits,"9,20",1,"9,2","9,2",Romero y tomillo,Spain,1
1996-08-14 00.00.00.000,Guaraná Fantástica,"4,50",6,"4,5",27,Romero y tomillo,Spain,1
1996-08-14 00.00.00.000,Steeleye Stout,"18,00",4,18,72,Romero y tomillo,Spain,1
1996-08-15 00.00.00.000,Nord-Ost Matjeshering,"25,89",6,"25,89","155,34",Romero y tomillo,Spain,1
1996-08-15 00.00.00.000,Ravioli Angelo,"19,50",2,"19,5",39,Romero y tomillo,Spain,1
1996-08-16 00.00.00.000,Genen Shouyu,"15,50",20,"15,5",310,LILA-Supermercado,Venezuela,1
1996-08-16 00.00.00.000,Teatime Chocolate Biscuits,"9,20",18,"9,2","165,59999",LILA-Supermercado,Venezuela,1
1996-08-16 00.00.00.000,Camembert Pierrot,"34,00",35,34,1190,LILA-Supermercado,Venezuela,1
1996-08-16 00.00.00.000,Mozzarella di Giovanni,"34,80",3,"34,8","104,399994",LILA-Supermercado,Venezuela,1
1996-08-19 00.00.00.000,Schoggi Schokolade,"43,90",15,"32,925003","493,87506",Lehmanns Marktstand,Germany,1
1996-08-19 00.00.00.000,Gula Malacca,"19,45",21,"19,45","408,45",Lehmanns Marktstand,Germany,1
1996-08-19 00.00.00.000,Camembert Pierrot,"34,00",20,"25,5",510,Lehmanns Marktstand,Germany,1
1996-08-19 00.00.00.000,Laughing Lumberjack Lager,"14,00",5,"10,5","52,5",Lehmanns Marktstand,Germany,1
1996-08-20 00.00.00.000,Chai,"18,00",45,"14,400001",648,QUICK-Stop,Germany,1
1996-08-20 00.00.00.000,Boston Crab Meat,"18,40",40,"14,72","588,8",QUICK-Stop,Germany,1
1996-08-20 00.00.00.000,Perth Pasties,"32,80",36,"26,24","944,64",QUICK-Stop,Germany,1
1996-08-21 00.00.00.000,Steeleye Stout,"18,00",100,18,1800,QUICK-Stop,Germany,1
1996-08-21 00.00.00.000,Tarte au sucre,"49,30",40,"49,3",1972,QUICK-Stop,Germany,1
1996-08-22 00.00.00.000,Pavlova,"17,45",40,"14,832501","593,30005",Ricardo Adocicados,Brazil,0
1996-08-22 00.00.00.000,Sasquatch Ale,"14,00",20,14,280,Ricardo Adocicados,Brazil,0
1996-08-22 00.00.00.000,Spegesild,"12,00",15,"10,200001","153,00002",Ricardo Adocicados,Brazil,0
1996-08-23 00.00.00.000,Tourtière,"7,45",10,"6,7049994","67,049995",Reggiani Caseifici,Italy,1
1996-08-23 00.00.00.000,Scottish Longbreads,"12,50",3,"11,25","33,75",Reggiani Caseifici,Italy,1
1996-08-26 00.00.00.000,Aniseed Syrup,"10,00",30,10,300,B's Beverages,UK,1
1996-08-26 00.00.00.000,Wimmers gute Semmelknödel,"33,25",9,"33,25","299,25",B's Beverages,UK,1
1996-08-27 00.00.00.000,Chef Anton's Gumbo Mix,"21,35",20,"21,35",427,Comércio Mineiro,Brazil,0
1996-08-27 00.00.00.000,Thüringer Rostbratwurst,"123,79",15,"123,79","1856,85",Comércio Mineiro,Brazil,0
1996-08-27 00.00.00.000,Maxilaku,"20,00",15,20,300,Comércio Mineiro,Brazil,0
1996-08-27 00.00.00.000,Original Frankfurter grüne Soße,"13,00",10,13,130,Comércio Mineiro,Brazil,0
1996-08-27 00.00.00.000,Konbu,"6,00",20,"5,3999996","107,99999",Que Delícia,Brazil,0
1996-08-27 00.00.00.000,Gula Malacca,"19,45",24,"17,505001","420,12003",Que Delícia,Brazil,0
1996-08-27 00.00.00.000,Manjimup Dried Apples,"53,00",2,"47,699997","95,399994",Que Delícia,Brazil,0
1996-08-28 00.00.00.000,Sir Rodney's Marmalade,"81,00",20,81,1620,Tradiçao Hipermercados,Brazil,0
1996-08-29 00.00.00.000,Carnarvon Tigers,"62,50",12,"62,5",750,Tortuga Restaurante,Mexico,0
1996-08-29 00.00.00.000,Guaraná Fantástica,"4,50",10,"4,5",45,Tortuga Restaurante,Mexico,0
1996-08-29 00.00.00.000,Vegie-spread,"43,90",5,"43,9","219,5",Tortuga Restaurante,Mexico,0
1996-08-29 00.00.00.000,Rhönbräu Klosterbier,"7,75",6,"7,75","46,5",Tortuga Restaurante,Mexico,0
1996-08-30 00.00.00.000,Chai,"18,00",18,18,324,Rattlesnake Canyon Grocery,USA,0
1996-08-30 00.00.00.000,Alice Mutton,"39,00",15,39,585,Rattlesnake Canyon Grocery,USA,0
1996-08-30 00.00.00.000,Ipoh Coffee,"46,00",15,46,690,Rattlesnake Canyon Grocery,USA,0
1996-08-30 00.00.00.000,Camembert Pierrot,"34,00",21,34,714,Rattlesnake Canyon Grocery,USA,0
1996-08-30 00.00.00.000,Rhönbräu Klosterbier,"7,75",6,"7,75","46,5",Rattlesnake Canyon Grocery,USA,0
1996-09-02 00.00.00.000,Gnocchi di nonna Alice,"38,00",4,38,152,Vins et alcools Chevalier,France,1
1996-09-03 00.00.00.000,Queso Cabrales,"21,00",12,21,252,LILA-Supermercado,Venezuela,1
1996-09-03 00.00.00.000,Pavlova,"17,45",30,"17,45","523,5",LILA-Supermercado,Venezuela,1
1996-09-03 00.00.00.000,Gudbrandsdalsost,"36,00",15,36,540,LILA-Supermercado,Venezuela,1
1996-09-04 00.00.00.000,Chartreuse verte,"18,00",60,18,1080,Blondel père et fils,France,1
1996-09-04 00.00.00.000,Mozzarella di Giovanni,"34,80",20,"34,8",696,Blondel père et fils,France,1
1996-09-05 00.00.00.000,Chang,"19,00",40,19,760,Hungry Owl All-Night Grocers,Ireland,1
1996-09-05 00.00.00.000,Inlagd Sill,"19,00",40,"14,25",570,Hungry Owl All-Night Grocers,Ireland,1
1996-09-05 00.00.00.000,Raclette Courdavault,"55,00",30,"41,25","1237,5",Hungry Owl All-Night Grocers,Ireland,1
1996-09-05 00.00.00.000,Tarte au sucre,"49,30",15,"49,3","739,5",Hungry Owl All-Night Grocers,Ireland,1
1996-09-06 00.00.00.000,Teatime Chocolate Biscuits,"9,20",15,"9,2",138,Ricardo Adocicados,Brazil,0
1996-09-06 00.00.00.000,Outback Lager,"15,00",20,15,300,Ricardo Adocicados,Brazil,0
1996-09-09 00.00.00.000,Louisiana Hot Spiced Okra,"17,00",30,17,510,Magazzini Alimentari Riuniti,Italy,1
1996-09-09 00.00.00.000,Scottish Longbreads,"12,50",20,"12,5",250,Magazzini Alimentari Riuniti,Italy,1
1996-09-09 00.00.00.000,Boston Crab Meat,"18,40",10,"18,4",184,Die Wandernde Kuh,Germany,1
1996-09-09 00.00.00.000,Gnocchi di nonna Alice,"38,00",20,38,760,Die Wandernde Kuh,Germany,1
1996-09-10 00.00.00.000,Alice Mutton,"39,00",40,39,1560,Suprêmes délices,Belgium,1
1996-09-10 00.00.00.000,Rössle Sauerkraut,"45,60",28,"45,6","1276,7999",Suprêmes délices,Belgium,1
1996-09-10 00.00.00.000,Ipoh Coffee,"46,00",12,46,552,Suprêmes délices,Belgium,1
1996-09-11 00.00.00.000,Boston Crab Meat,"18,40",40,"16,56","662,39996",Godos Cocina Típica,Spain,1
1996-09-11 00.00.00.000,Louisiana Fiery Hot Pepper Sauce,"21,05",30,"18,945","568,35",Godos Cocina Típica,Spain,1
1996-09-11 00.00.00.000,Scottish Longbreads,"12,50",15,"11,25","168,75",Godos Cocina Típica,Spain,1
1996-09-12 00.00.00.000,Maxilaku,"20,00",30,20,600,Tortuga Restaurante,Mexico,0
1996-09-12 00.00.00.000,Raclette Courdavault,"55,00",10,55,550,Tortuga Restaurante,Mexico,0
1996-09-12 00.00.00.000,Flotemysost,"21,50",2,"21,5",43,Tortuga Restaurante,Mexico,0
1996-09-13 00.00.00.000,Carnarvon Tigers,"62,50",25,"56,25","1406,25",Old World Delicatessen,USA,0
1996-09-13 00.00.00.000,Thüringer Rostbratwurst,"123,79",25,"111,410995","2785,275",Old World Delicatessen,USA,0
1996-09-13 00.00.00.000,Chartreuse verte,"18,00",30,"16,199999","485,99997",Old World Delicatessen,USA,0
1996-09-16 00.00.00.000,Nord-Ost Matjeshering,"25,89",10,"25,89","258,9",Romero y tomillo,Spain,1
1996-09-16 00.00.00.000,Perth Pasties,"32,80",10,"32,8",328,Romero y tomillo,Spain,1
1996-09-16 00.00.00.000,Tourtière,"7,45",5,"7,45","37,25",Romero y tomillo,Spain,1
1996-09-17 00.00.00.000,Tarte au sucre,"49,30",10,"49,3",493,Lonesome Pine Restaurant,USA,0
1996-09-17 00.00.00.000,Scottish Longbreads,"12,50",3,"12,5","37,5",Lonesome Pine Restaurant,USA,0
1996-09-18 00.00.00.000,Gudbrandsdalsost,"36,00",1,36,36,Ana Trujillo Emparedados y helados,Mexico,0
1996-09-18 00.00.00.000,Outback Lager,"15,00",5,15,75,Ana Trujillo Emparedados y helados,Mexico,0
1996-09-19 00.00.00.000,Chef Anton's Cajun Seasoning,"22,00",20,22,440,Hungry Owl All-Night Grocers,Ireland,1
1996-09-19 00.00.00.000,Grandma's Boysenberry Spread,"25,00",30,25,750,Hungry Owl All-Night Grocers,Ireland,1
1996-09-19 00.00.00.000,Singaporean Hokkien Fried Mee,"14,00",2,14,28,Hungry Owl All-Night Grocers,Ireland,1
1996-09-19 00.00.00.000,Ipoh Coffee,"46,00",20,46,920,Hungry Owl All-Night Grocers,Ireland,1
1996-09-19 00.00.00.000,Flotemysost,"21,50",3,"21,5","64,5",Hungry Owl All-Night Grocers,Ireland,1
1996-09-20 00.00.00.000,Pavlova,"17,45",10,"17,45","174,5",The Big Cheese,USA,0
1996-09-20 00.00.00.000,Tarte au sucre,"49,30",5,"49,3","246,5",The Big Cheese,USA,0
1996-09-20 00.00.00.000,Singaporean Hokkien Fried Mee,"14,00",6,14,84,Du monde entier,France,1
1996-09-20 00.00.00.000,Gudbrandsdalsost,"36,00",7,36,252,Du monde entier,France,1
1996-09-23 00.00.00.000,Rössle Sauerkraut,"45,60",4,"45,6","182,4",Die Wandernde Kuh,Germany,1
1996-09-23 00.00.00.000,Ipoh Coffee,"46,00",24,46,1104,Die Wandernde Kuh,Germany,1
1996-09-23 00.00.00.000,Perth Pasties,"32,80",20,"32,8",656,Die Wandernde Kuh,Germany,1
1996-09-23 00.00.00.000,Rhönbräu Klosterbier,"7,75",10,"7,75","77,5",Die Wandernde Kuh,Germany,1
1996-09-24 00.00.00.000,Inlagd Sill,"19,00",12,19,228,QUICK-Stop,Germany,1
1996-09-25 00.00.00.000,Mascarpone Fabioli,"32,00",40,"28,8",1152,Rattlesnake Canyon Grocery,USA,0
1996-09-25 00.00.00.000,Escargots de Bourgogne,"13,25",30,"11,924999","357,74997",Rattlesnake Canyon Grocery,USA,0
1996-09-25 00.00.00.000,Tarte au sucre,"49,30",25,"44,37","1109,25",Rattlesnake Canyon Grocery,USA,0
1996-09-26 00.00.00.000,Sasquatch Ale,"14,00",14,14,196,Island Trading,UK,1
1996-09-26 00.00.00.000,Outback Lager,"15,00",30,15,450,Island Trading,UK,1
1996-09-27 00.00.00.000,Jack's New England Clam Chowder,"9,65",10,"9,65","96,5",Rattlesnake Canyon Grocery,USA,0
1996-09-27 00.00.00.000,Tarte au sucre,"49,30",70,"49,3",3451,Rattlesnake Canyon Grocery,USA,0
1996-09-30 00.00.00.000,Chai,"18,00",20,18,360,Lonesome Pine Restaurant,USA,0
1996-10-01 00.00.00.000,Jack's New England Clam Chowder,"9,65",20,"9,65",193,Island Trading,UK,1
1996-10-01 00.00.00.000,Lakkalikööri,"18,00",6,18,108,Island Trading,UK,1
1996-10-02 00.00.00.000,Alice Mutton,"39,00",8,39,312,Tortuga Restaurante,Mexico,0
1996-10-02 00.00.00.000,Rössle Sauerkraut,"45,60",14,"45,6","638,39996",Tortuga Restaurante,Mexico,0
1996-10-02 00.00.00.000,Lakkalikööri,"18,00",30,18,540,Tortuga Restaurante,Mexico,0
1996-10-03 00.00.00.000,Flotemysost,"21,50",30,"21,5",645,Wartian Herkku,Finland,1
1996-10-03 00.00.00.000,Steeleye Stout,"18,00",10,18,180,Island Trading,UK,1
1996-10-04 00.00.00.000,Filo Mix,"7,00",20,7,140,Pericles Comidas clásicas,Mexico,0
1996-10-07 00.00.00.000,Genen Shouyu,"15,50",5,"15,5","77,5",Königlich Essen,Germany,1
1996-10-07 00.00.00.000,NuNuCa Nuß-Nougat-Creme,"14,00",4,14,56,Königlich Essen,Germany,1
1996-10-07 00.00.00.000,Chartreuse verte,"18,00",4,18,72,Königlich Essen,Germany,1
1996-10-08 00.00.00.000,Pavlova,"17,45",21,"14,832501","311,48254",Save-a-lot Markets,USA,0
1996-10-08 00.00.00.000,Steeleye Stout,"18,00",70,"15,3",1071,Save-a-lot Markets,USA,0
1996-10-08 00.00.00.000,Spegesild,"12,00",30,12,360,Save-a-lot Markets,USA,0
1996-10-08 00.00.00.000,Raclette Courdavault,"55,00",40,"46,75",1870,Save-a-lot Markets,USA,0
1996-10-08 00.00.00.000,Vegie-spread,"43,90",80,"37,315002","2985,2002",Save-a-lot Markets,USA,0
1996-10-09 00.00.00.000,Grandma's Boysenberry Spread,"25,00",6,25,150,Königlich Essen,Germany,1
1996-10-09 00.00.00.000,Konbu,"6,00",12,6,72,Königlich Essen,Germany,1
1996-10-09 00.00.00.000,Tofu,"23,25",9,"23,25","209,25",Königlich Essen,Germany,1
1996-10-09 00.00.00.000,Gorgonzola Telino,"12,50",4,"12,5",50,Königlich Essen,Germany,1
1996-10-09 00.00.00.000,Mozzarella di Giovanni,"34,80",40,"34,8",1392,Königlich Essen,Germany,1
1996-10-10 00.00.00.000,Chef Anton's Cajun Seasoning,"22,00",24,22,528,Bólido Comidas preparadas,Spain,1
1996-10-10 00.00.00.000,Ravioli Angelo,"19,50",16,"19,5",312,Bólido Comidas preparadas,Spain,1
1996-10-10 00.00.00.000,Rhönbräu Klosterbier,"7,75",50,"7,75","387,5",Bólido Comidas preparadas,Spain,1
1996-10-11 00.00.00.000,Chang,"19,00",25,"15,2",380,Folk och fä HB,Sweden,1
1996-10-11 00.00.00.000,Queso Cabrales,"21,00",50,"16,800001","840,00006",Folk och fä HB,Sweden,1
1996-10-11 00.00.00.000,Nord-Ost Matjeshering,"25,89",35,"20,712","724,92",Folk och fä HB,Sweden,1
1996-10-11 00.00.00.000,Escargots de Bourgogne,"13,25",30,"10,6",318,Folk och fä HB,Sweden,1
1996-10-14 00.00.00.000,Raclette Courdavault,"55,00",9,55,495,Furia Bacalhau e Frutos do Mar,Portugal,1
1996-10-14 00.00.00.000,Louisiana Fiery Hot Pepper Sauce,"21,05",40,"21,05",842,Furia Bacalhau e Frutos do Mar,Portugal,1
1996-10-14 00.00.00.000,Scottish Longbreads,"12,50",10,"12,5",125,Furia Bacalhau e Frutos do Mar,Portugal,1
1996-10-15 00.00.00.000,Teatime Chocolate Biscuits,"9,20",10,"8,74","87,399994",Split Rail Beer & Ale,USA,0
1996-10-15 00.00.00.000,Nord-Ost Matjeshering,"25,89",8,"24,595499","196,76399",Split Rail Beer & Ale,USA,0
1996-10-15 00.00.00.000,Côte de Blaye,"263,50",20,"250,325","5006,5",Split Rail Beer & Ale,USA,0
1996-10-15 00.00.00.000,Gnocchi di nonna Alice,"38,00",12,"36,1","433,19998",Split Rail Beer & Ale,USA,0
1996-10-16 00.00.00.000,Gumbär Gummibärchen,"31,23",50,"26,5455","1327,275",LILA-Supermercado,Venezuela,1
1996-10-16 00.00.00.000,Mozzarella di Giovanni,"34,80",25,"29,58","739,5",LILA-Supermercado,Venezuela,1
1996-10-16 00.00.00.000,Tourtière,"7,45",15,"7,45","111,75",Bon app',France,1
1996-10-17 00.00.00.000,Carnarvon Tigers,"62,50",40,50,2000,Mère Paillarde,Canada,0
1996-10-17 00.00.00.000,Singaporean Hokkien Fried Mee,"14,00",10,"11,2",112,Mère Paillarde,Canada,0
1996-10-17 00.00.00.000,Zaanse koeken,"9,50",16,"7,6","121,6",Mère Paillarde,Canada,0
1996-10-18 00.00.00.000,Tofu,"23,25",10,"23,25","232,5",Wartian Herkku,Finland,1
1996-10-18 00.00.00.000,Sir Rodney's Scones,"10,00",10,9,90,Wartian Herkku,Finland,1
1996-10-18 00.00.00.000,Flotemysost,"21,50",40,"19,35",774,Wartian Herkku,Finland,1
1996-10-21 00.00.00.000,Filo Mix,"7,00",8,7,56,Victuailles en stock,France,1
1996-10-21 00.00.00.000,Scottish Longbreads,"12,50",10,"12,5",125,Victuailles en stock,France,1
1996-10-22 00.00.00.000,Chang,"19,00",7,"15,2","106,4",Hungry Owl All-Night Grocers,Ireland,1
1996-10-22 00.00.00.000,Gorgonzola Telino,"12,50",25,10,250,Hungry Owl All-Night Grocers,Ireland,1
1996-10-22 00.00.00.000,Mascarpone Fabioli,"32,00",6,"25,6","153,6",Hungry Owl All-Night Grocers,Ireland,1
1996-10-22 00.00.00.000,Manjimup Dried Apples,"53,00",48,"42,4","2035,2001",Hungry Owl All-Night Grocers,Ireland,1
1996-10-23 00.00.00.000,Chef Anton's Cajun Seasoning,"22,00",18,"19,8","356,4",Princesa Isabel Vinhos,Portugal,1
1996-10-24 00.00.00.000,Tunnbröd,"9,00",40,9,360,Frankenversand,Germany,1
1996-10-24 00.00.00.000,Gumbär Gummibärchen,"31,23",24,"31,23","749,52",Frankenversand,Germany,1
1996-10-24 00.00.00.000,Inlagd Sill,"19,00",20,19,380,Frankenversand,Germany,1
1996-10-24 00.00.00.000,Gravad lax,"26,00",28,26,728,Frankenversand,Germany,1
1996-10-24 00.00.00.000,Mozzarella di Giovanni,"34,80",25,"34,8",870,Frankenversand,Germany,1
1996-10-25 00.00.00.000,Alice Mutton,"39,00",20,39,780,Old World Delicatessen,USA,0
1996-10-25 00.00.00.000,Nord-Ost Matjeshering,"25,89",15,"25,89","388,34998",Old World Delicatessen,USA,0
1996-10-28 00.00.00.000,Chef Anton's Cajun Seasoning,"22,00",10,22,220,Mère Paillarde,Canada,0
